format	shape	lcpp_tok_s	lcpp_commit	date
q4_k_m	pp512	1213.54	7642f1c	2026-07-17
q4_k_m	tg128	101.48	7642f1c	2026-07-17
q4_k_m	tg128_b1_batched	93.32	7642f1c	2026-07-17
q4_k_m	tg128_b2	112.80	7642f1c	2026-07-17
q4_k_m	tg128_b4	167.09	7642f1c	2026-07-17
q4_k_m	tg128_b8	200.34	7642f1c	2026-07-17
q4_k_m	tg128_b16	315.72	7642f1c	2026-07-17
q8_0	pp512	1395.92	7642f1c	2026-07-17
q8_0	tg128	86.41	7642f1c	2026-07-17
q8_0	tg128_b1_batched	79.97	7642f1c	2026-07-17
q8_0	tg128_b2	127.88	7642f1c	2026-07-17
q8_0	tg128_b4	218.65	7642f1c	2026-07-17
q8_0	tg128_b8	252.71	7642f1c	2026-07-17
q8_0	tg128_b16	362.71	7642f1c	2026-07-17
